,LePHARE_chi2_G,LePHARE_chi2_Q,LePHARE_chi2_S,BAGPIPES_BIC_G,BAGPIPES_BIC_Q,BAGPIPES_BIC_GQ
980453716,3115.3,168.069,3944.38,2272.3602743538086,503.95015426004466,26.228282136517315
1143273115,4514.53,723.086,5291.66,3372.2083304098674,1659.883645211441,54.186308643990955
1197311621,1160.79,53.7995,1803.01,914.4761673544882,120.5349887625761,42.94211291541272
1228745162,9699.36,139.122,4163.89,7493.251343732493,407.43790618127946,152.50278393196567
1271696125,2315.39,258.936,5340.51,1869.5851712103256,539.460848857003,21.25903513896011
1456016600,5487.31,62.1268,2135.99,3775.025634937445,325.28862180091096,269.5101982925669
1470729144,3901.61,11.8449,2165.21,3182.2238178203493,86.8494080585081,81.22096740897054
1471313744,13028.3,1066.47,14075.9,10609.962679746255,1337.321047251509,948.6801427681197
1513805078,4739.67,77.2086,2643.16,3809.7165267645423,102.51306365170245,83.13279904780202
1599741416,2166.5,38.9645,1611.99,1807.9150381970937,109.57627637257501,18.105998653622343
1621863463,2866.6,29.593,1582.0,1765.3860872960413,76.40119234774016,78.94056902831663
1695974542,5406.77,88.9739,2775.41,4109.498611746726,292.16577639612547,130.00111194130233
