,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,CHI_BEST,MOD_BEST,MAG_ABS_BEST,PDZ_BEST,SCALE_BEST,DIST_MOD_BEST,NBAND_USED,Z_SEC,CHI_SEC,MOD_SEC,AGE_SEC,Z_QSO,CHI_QSO,MOD_QSO,MAG_ABS_QSO,DIST_MOD_QSO,MOD_STAR,CHI_STAR,CONTEXT,ZSPEC
980453716,1.0327,1.0380,1.0409,1.0400,0.137578E+04,1,-24.318,100.000,0.620859E+06,0.441881E+02,7,-99.0000,0.100000E+10,-999,-.990000E+02,6.1000,0.109059E+03,17,-28.201,0.488499E+02,207,0.636932E+03,508.0000,-.990000E+02
1143273115,0.9994,0.9994,1.0006,-99.0000,0.199684E+04,1,-24.272,100.000,0.604926E+06,0.441000E+02,9,-99.0000,0.100000E+10,-999,-.990000E+02,6.1000,0.377818E+03,5,-27.693,0.488499E+02,209,0.117940E+04,511.0000,-.990000E+02
1197311621,0.9959,0.9955,1.0029,0.9996,0.521169E+03,1,-23.425,100.000,0.274958E+06,0.440906E+02,7,-99.0000,0.100000E+10,-999,-.990000E+02,6.2000,0.238606E+02,16,-27.341,0.488909E+02,209,0.419063E+03,508.0000,-.990000E+02
1228745162,0.9550,0.9596,0.9602,-99.0000,0.430904E+04,1,-24.410,100.000,0.679011E+06,0.439781E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,6.0000,0.772263E+02,15,-27.585,0.488082E+02,211,0.125936E+04,510.0000,-.990000E+02
1271696125,1.1048,1.1160,1.1206,1.1197,0.102673E+04,1,-24.490,100.000,0.715978E+06,0.443695E+02,7,-99.0000,0.100000E+10,-999,-.990000E+02,6.5000,0.141360E+03,16,-28.203,0.490099E+02,207,0.774716E+03,508.0000,-.990000E+02
1456016600,0.8690,0.8773,0.8808,-99.0000,0.248079E+04,1,-23.439,100.000,0.272784E+06,0.437253E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,6.0000,0.348033E+02,20,-27.127,0.488082E+02,211,0.615816E+03,510.0000,-.990000E+02
1470729144,0.9535,0.9585,0.9608,-99.0000,0.173261E+04,1,-23.513,100.000,0.295955E+06,0.439738E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,6.0000,0.762809E+01,22,-26.967,0.488082E+02,210,0.617169E+03,510.0000,-.990000E+02
1471313744,1.0144,0.9998,1.0013,-99.0000,0.582916E+04,1,-24.495,100.000,0.770518E+06,0.441402E+02,7,-99.0000,0.100000E+10,-999,-.990000E+02,6.1000,0.485497E+03,22,-27.779,0.488499E+02,210,0.489300E+04,508.0000,-.990000E+02
1513805078,0.9632,0.9592,0.9610,-99.0000,0.209640E+04,1,-23.624,100.000,0.336211E+06,0.440011E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,6.0000,0.353117E+02,11,-27.358,0.488082E+02,210,0.696056E+03,510.0000,-.990000E+02
1599741416,0.9704,0.9593,0.9623,0.9600,0.950755E+03,1,-23.593,100.000,0.333020E+06,0.440212E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,5.9600,0.295227E+02,16,-27.243,0.487913E+02,185,0.303842E+03,510.0000,-.990000E+02
1621863463,0.9378,0.9191,0.9345,0.9281,0.124341E+04,1,-23.210,100.000,0.238827E+06,0.439293E+02,7,-99.0000,0.100000E+10,-999,-.990000E+02,6.1000,0.143581E+02,3,-26.731,0.488499E+02,210,0.454408E+03,508.0000,-.990000E+02
1695974542,0.9193,0.9189,0.9210,-99.0000,0.242437E+04,1,-24.000,100.000,0.470674E+06,0.438760E+02,8,-99.0000,0.100000E+10,-999,-.990000E+02,5.9600,0.419871E+02,21,-27.049,0.487913E+02,211,0.659832E+03,510.0000,-.990000E+02
