# Name,redshift,ra,dec,OBJ_TYPE,coadd_object_id,ra_des,dec_des,g_mag,g_magerr,g_flux,g_fluxerr,r_mag,r_magerr,r_flux,r_fluxerr,i_mag,i_magerr,i_flux,i_fluxerr,z_mag,z_magerr,z_flux,z_fluxerr,Y_mag,Y_magerr,Y_flux,Y_fluxerr,J_mag,J_magerr,J_flux,J_fluxerr,K_mag,K_magerr,K_flux,K_fluxerr,W1_mag,W1_magerr,W1_flux,W1_fluxerr,W2_mag,W2_magerr,W2_flux,W2_fluxerr,Separation
PSO~J002.1073--06.4345,5.93,2.10739,-6.43456,HIGH_Z_QUASAR,1041512165,2.107414,-6.434606,99.0,99.0,0.0,0.14358902769679147,24.43568611,0.1614005,0.6105560738665495,0.09076242937118485,21.97932816,0.02716854,5.8650097172663465,0.1467610183814738,20.72262192,0.01776127,18.66170122216274,0.30528181027176954,21.04501534,0.0755235,13.867362360057347,0.9646097612017106,19.382605,0.072439,64.11475691198075,4.277658657409893,17.867783,0.144743,258.75383785568994,34.49530980786399,19.500968,0.046954240215316266,57.49271261962634,2.486355918814972,19.300971999999998,0.0855632646870314,69.12118897991655,5.447211359676854,0.18653301199997305
VDESJ0143--5545,6.25,25.79265,-55.75297,HIGH_Z_QUASAR,1197311621,25.792719,-55.752976,99.0,99.0,0.0,0.14358902769679147,99.0,99.0,0.0,0.18928720334405758,24.37832642,0.22558422,0.6436791355832513,0.13373769346041947,20.85076523,0.01944921,16.58417637912412,0.2970787265461772,21.27628136,0.07441999,11.206950559307325,0.7681618655610192,19.741713,0.143566,46.05903132434492,6.090347602053095,18.123358,0.204369,204.48280783970037,38.48996355859876,19.768549999999998,0.041730992580419485,44.93450894715091,1.727087713627528,19.267141,0.05867228976878703,71.30887748226375,3.853472974734551,0.14144903397898925
ATLAS~J029.9915--36.5658,6.02,29.9915479,-36.565723,HIGH_Z_QUASAR,1228745162,29.99159,-36.565741,99.0,99.0,0.0,0.14358902769679147,24.03155708,0.07489354,0.8858846324701244,0.06110787856804199,21.85709763,0.0173088,6.563884764831153,0.10464141116379104,19.87908173,0.00543188,40.585164257836546,0.2030454000361606,20.03457069,0.02054872,35.16994782201698,0.6656289133972765,18.508444,0.052552,143.42418806894176,6.9420434709351,17.431778,0.121097,386.62399135283414,43.12189763560851,19.306748,0.03371041361102811,68.75444805434157,2.134718241274939,19.251762,0.06856800923362508,72.32612539538802,4.567645816921127,0.13790213661974354
ULAS~J0203+0012,5.72,30.88493,0.2080733,HIGH_Z_QUASAR,1231372007,30.884928,0.208119,99.0,99.0,0.0,0.14358902769679147,25.44441414,0.2876417,0.24112061573317564,0.06387955334876942,22.16158676,0.02517885,4.958671017205724,0.1149944463437913,20.91609001,0.01393497,15.615791294386442,0.20042214882390555,21.1142807,0.06746146,13.010312254856537,0.8083866559133844,18.854708,0.072602,104.2597789962341,6.971738108678844,17.288507,0.087774,441.161088897092,35.664716021401894,19.219552,0.03514849392463098,74.50393310394331,2.411912791144728,19.217525,0.07383544304040865,74.64315709901062,5.076104628534546,0.16467747179339007
VDESJ0224--4711,6.526,36.11057,-47.19149,HIGH_Z_QUASAR,1271696125,36.110612,-47.191489,99.0,99.0,0.0,0.14358902769679147,99.0,99.0,0.0,0.18928720334405758,24.56261635,0.25065821,0.5431921186510451,0.12540390893339518,20.50878906,0.01233007,22.723978829468937,0.25806291474666987,20.37194824,0.03132004,25.776307497150516,0.7435645770354506,18.84361,0.079824,105.33094971193265,7.743996831788763,17.154762,0.077047,498.99385797018596,35.41005596621286,18.813231000000002,0.01928032145339974,108.31973777901469,1.9235237389846593,18.76039,0.036194219226243836,113.72187197607177,3.7910445899128122,0.10281105025361943
PSO~J056.7168--16.4769,5.967,56.71685,-16.47691,HIGH_Z_QUASAR,1413280997,56.71689,-16.47694,99.0,99.0,0.0,0.14358902769679147,24.26558113,0.08974764,0.7141140010245782,0.059029114072134015,21.65839005,0.01632104,7.882137016346014,0.11848612302462752,20.1545639,0.0079669,31.490129019069645,0.23106783008853835,20.52226448,0.03616441,22.44368723791705,0.7475689800402433,19.071081,0.075184,85.4215799819658,5.915190118206316,17.716057,0.167667,297.56181564727103,45.95158264547816,19.337628000000002,0.03638556004985519,66.82651295733844,2.239512774351423,19.052198,0.05884867553131687,86.92021662285511,4.711217699781578,0.17530511105985583
VDESJ0408--5632,6.03,62.08012,-56.54134,HIGH_Z_QUASAR,1456016600,62.08016,-56.541322,99.0,99.0,0.0,0.14358902769679147,25.49680138,0.32979271,0.22976265868279605,0.06979047906087335,22.68726349,0.04784128,3.0555866506541483,0.13463968123893652,20.34235001,0.00883054,26.48866043302919,0.21543831224859056,20.38007164,0.0300268,25.58417069613706,0.7075482730447431,18.999758,0.068457,91.22141403240983,5.751622091120952,17.874619,0.169281,257.12979288313346,40.09002212351047,20.073762000000002,0.042638074876433826,33.92307402040232,1.3321970509797454,19.91115,0.08250164973743623,39.40397183727319,2.994182812119375,0.10248011915111425
VDESJ0420--4453,6.07,65.04727,-44.88993,HIGH_Z_QUASAR,1470729144,65.047291,-44.889922,99.0,99.0,0.0,0.14358902769679147,25.62434959,0.27626523,0.2042961413693851,0.05198308782205421,23.11535263,0.05512013,2.0599607618358675,0.10457909065728047,20.60022354,0.01019892,20.8886601423891,0.1962187249221136,21.00480461,0.05737825,14.390575289571277,0.7605033552259467,19.660065,0.139269,49.65625927422376,6.369482331486273,18.14656,0.222326,200.15940437589921,40.98660387510023,20.0244,0.04736796120192575,35.50095205466701,1.5488179469261654,19.832960999999997,0.08163905896815438,42.346312683019846,3.18411885231653,0.060812005897080676
PSO~J065.5041--19.4579,6.1247,65.50414653,-19.45796853,HIGH_Z_QUASAR,1471313744,65.504173,-19.457955,99.0,99.0,0.0,0.14358902769679147,99.0,99.0,0.0,0.18928720334405758,23.65825272,0.08582494,1.2493925501031498,0.09876159621382187,19.88391495,0.00547197,40.404898488427115,0.20363546081708853,20.79218674,0.0392475,17.50351632695657,0.6327220682442516,18.96766,0.048981,93.95848380231875,4.238764881333774,17.366697,0.100367,410.5075981924945,37.947906616013206,18.720948,0.02173140900591005,117.92904999683759,2.3603932593650616,18.385741,0.033617052917768904,160.58449119102332,4.972089274064713,0.10220275547560081
VDESJ0454--4448,6.0581,73.50744,-44.80864,HIGH_Z_QUASAR,1513805078,73.507464,-44.808624,99.0,99.0,0.0,0.14358902769679147,25.51425552,0.25823423,0.22609855772266424,0.05377584969696165,22.93239594,0.04174669,2.4380444761851345,0.09374310859992634,20.48654556,0.00948916,23.19432701749924,0.202714691834748,20.55944633,0.02829469,21.68809805078154,0.5651999153635787,19.338638,0.093142,66.76437687473904,5.727512413802448,18.388853,0.254378,160.12487362662017,37.51578415170041,19.873223000000003,0.041740268406890546,40.80475738575142,1.5687065772470372,19.881518999999997,0.08887677929659253,40.49416051216029,3.3147928114286405,0.08411404634531533
VDESJ2250--5015,6.0,342.50837,-50.26171,HIGH_Z_QUASAR,980453716,342.508399,-50.261739,99.0,99.0,0.0,0.14358902769679147,99.0,99.0,0.0,0.18928720334405758,23.03152466,0.04778263,2.225308034720159,0.0979345351044529,20.4282341,0.00870904,24.474079137260773,0.196314476053649,20.43825722,0.02430528,24.249183055986606,0.5428419733671012,18.275986,0.090127,177.66652172238395,14.748104127963963,17.256292,0.15348,454.4469573026224,64.24076004939378,18.946849999999998,0.02566145166865967,95.77672882701488,2.263689731452112,18.905692,0.04889373828577571,99.4771192315447,4.479732933114787,0.12391013588569302
